Colony_ID,Center_X,Center_Y,Area_Pixels
3,1095,893,32.0
4,1082,894,55.5
5,1077,877,81.0
6,1056,886,360.5
8,1098,832,177.5
9,914,797,90.0
10,1290,722,81.0
12,964,474,81.0
13,1067,464,334.0
14,858,401,99.5
15,927,298,81.0
16,1056,261,120.0
17,1209,230,172.5
18,1030,581,288464.0
20,1016,889,32.0
22,984,873,175.5
24,957,870,64.5
25,1008,855,142.5
29,978,842,38.0
36,852,836,63.0
38,1154,833,308.5
42,1084,812,98.5
44,995,808,104.5
46,892,812,222.5
48,1109,797,35.5
49,1034,789,33.0
50,976,787,71.0
51,886,787,61.5
52,1049,809,846.0
55,853,785,208.0
60,1058,775,257.5
62,892,770,91.5
65,1029,767,169.0
71,860,755,315.5
72,823,748,71.0
76,914,757,492.5
81,884,728,39.5
82,841,731,133.0
85,860,732,57.0
86,1138,723,33.0
87,984,728,75.5
90,816,722,47.0
93,918,715,63.0
95,1095,708,62.5
97,1345,701,30.0
98,866,706,55.0
99,770,716,678.5
101,968,699,74.0
102,898,705,196.0
107,813,693,92.5
111,824,681,54.5
113,905,679,77.0
117,892,667,153.0
121,810,657,42.0
124,867,653,53.0
128,846,650,33.5
132,953,666,680.5
133,901,645,43.0
135,929,644,47.0
139,743,635,72.0
140,707,633,84.0
141,774,628,82.5
153,967,614,170.5
155,688,617,100.5
157,1314,620,549.0
158,814,606,115.0
159,891,606,62.5
161,764,604,104.5
167,845,592,94.0
169,795,589,64.0
170,710,591,74.0
172,686,591,178.0
177,835,572,34.5
180,784,571,30.0
181,886,571,48.0
183,860,573,47.5
184,763,580,121.5
185,746,571,64.0
195,1035,597,3198.0
196,1045,595,81.0
197,731,561,60.0
199,716,554,34.5
200,1022,554,54.5
202,939,557,281.0
212,792,551,69.5
213,766,540,88.0
216,950,536,65.0
217,1121,540,228.5
223,970,534,128.0
224,903,527,149.0
226,934,528,159.0
231,885,511,168.5
234,845,524,1543.0
235,841,527,353.0
239,825,470,251.5
241,763,478,1060.0
244,1317,459,1139.0
247,871,421,46.5
248,784,408,94.5
249,763,404,51.0
251,1339,382,353.0
252,1236,491,27036.0
253,1254,429,187.0
254,1279,350,182.5
255,1132,347,1178.5
257,1163,295,60.5
258,1219,288,426.5
260,974,298,27000.0
261,938,368,656.0
262,1004,355,650.5
264,998,302,2128.5
265,943,206,1449.0
