Colony_ID,Center_X,Center_Y,Area_Pixels
3,994,882,90.0
4,1154,877,1949.5
7,906,803,140.5
8,924,803,267.0
9,877,849,12293.0
11,908,886,75.5
17,892,846,42.5
20,835,831,954.5
21,772,808,58.5
22,794,807,254.0
23,906,791,90.0
24,736,781,39.5
25,870,790,533.0
26,816,778,257.5
27,837,779,377.0
28,913,772,217.0
29,729,767,205.0
30,900,759,81.0
32,797,756,596.5
33,836,746,81.0
34,825,745,110.0
35,754,750,261.5
36,722,743,81.0
37,755,726,100.0
38,806,725,119.0
39,704,699,90.0
40,651,588,110.0
41,675,578,100.0
43,818,316,99.5
44,714,310,69.0
45,849,299,190.5
46,784,250,81.0
48,797,237,81.0
50,802,223,154.0
51,823,213,90.0
52,852,243,3886.5
55,1139,183,99.0
56,1074,182,173.0
57,1170,194,498.0
58,1050,529,362453.0
60,1089,878,79.5
64,1070,859,616.0
66,1058,831,52.5
68,1105,825,366.5
71,1232,805,32.0
72,1037,829,649.0
74,1018,799,93.5
75,1132,784,1825.0
77,1216,757,1023.0
79,959,745,539.5
80,1031,763,3287.0
81,1053,776,90.0
82,1022,767,99.5
85,921,721,159.5
90,839,703,30.5
91,1059,714,665.5
92,1010,694,335.0
93,1241,685,207.5
94,1220,683,122.5
95,953,686,957.0
96,1197,695,735.5
101,781,668,815.5
102,1283,683,1945.5
103,1152,656,476.5
106,1045,637,773.5
107,871,627,225.0
108,670,621,113.0
110,1325,634,1355.5
112,700,615,142.0
115,883,607,205.5
116,961,619,1902.0
117,1063,588,32.0
119,814,592,949.0
120,914,569,51.5
121,1218,602,3901.0
123,860,558,89.5
125,844,551,124.0
128,686,541,57.0
130,828,541,88.5
131,775,541,113.0
133,757,533,89.5
138,1279,541,1323.5
140,727,565,1941.0
141,1023,530,1459.5
150,678,474,56.0
152,737,471,97.5
153,1075,510,976.5
156,922,458,34.0
161,950,450,59.5
162,1050,452,98.0
163,803,462,2384.0
166,1287,460,3290.5
167,730,438,100.0
168,957,431,49.0
169,939,417,99.5
172,1017,416,766.5
175,797,379,40.0
176,866,392,1311.5
177,1090,375,149.0
178,987,378,133.5
179,957,370,60.5
184,1147,432,13757.5
185,1218,403,81.0
186,1174,403,322.0
187,1333,385,7181.5
189,1189,342,1972.0
191,897,314,98.0
192,792,298,163.5
194,1107,310,3199.0
195,1262,286,4697.0
196,1047,266,1937.5
198,1038,215,40.5
199,997,206,339.5
200,1096,162,109.0
201,1121,159,155.5
