Shape_ID,Center_X,Center_Y,Area_Pixels
1,1225,1287,310.0
2,1160,1287,466.0
3,1386,1117,517.0
4,1844,1113,1321.0
5,1134,1053,695.0
6,1773,1048,546.5
7,1057,1064,2895.0
8,1866,1023,347.0
9,1047,1016,1540.0
10,1724,1001,1472.5
11,1723,966,391.5
12,1227,957,257.0
13,1714,881,97.5
14,1275,883,1118.0
15,1730,854,31.5
16,1751,859,272.5
17,1727,838,65.5
18,1333,845,1049.5
19,1677,846,1974.5
20,1606,903,31769.0
21,1460,794,1287.0
22,1763,781,380.5
23,1311,798,3222.5
24,1280,763,385.5
25,1676,760,539.5
26,1605,753,473.0
27,1485,739,463.5
28,1683,722,428.5
29,1335,708,134.5
30,1224,723,1588.0
31,1582,722,1632.0
32,1525,708,735.0
33,1495,698,252.0
34,1616,704,656.0
35,1205,684,1006.0
36,1529,663,529.5
37,1467,668,606.5
38,1564,659,275.0
39,1157,673,1833.0
40,1494,656,1171.5
41,1315,633,87.0
42,1382,659,3663.5
43,1482,615,746.5
44,1541,624,2291.5
