Shape_ID,Center_X,Center_Y,Area_Pixels
1,792,695,2970.0
2,854,647,4958.5
3,1216,478,1296.0
4,978,456,5041.0
5,1270,398,132.5
6,1212,388,58.0
7,1279,326,168.0
8,1197,261,202.5
9,1255,252,2021.0
