Colony_ID,Center_X,Center_Y,Area_Pixels
1,101,810,44167
2,99,808,44020
3,810,809,43768
4,681,410,36157
5,670,405,31999
6,704,422,17672
7,94,648,16723
8,618,386,10771
9,121,366,9901
10,697,810,8269
11,364,83,8099
12,613,412,7634
13,122,704,7372
14,117,385,6834
15,687,816,6293
16,380,90,5956
17,631,119,5893
18,85,616,5834
19,432,234,4512
20,213,694,3912
21,540,117,3794
22,118,378,3552
23,430,218,3130
24,128,325,3092
25,379,73,3052
26,217,711,3024
27,708,232,2907
28,819,671,2893
29,882,555,2597
30,694,319,2546
31,631,146,2391
32,328,62,2319
33,695,134,2265
34,375,123,2256
35,746,526,2153
36,699,234,2134
37,749,376,2078
38,619,96,2031
39,166,758,1986
40,888,547,1780
41,565,263,1748
42,706,782,1721
43,195,394,1688
44,641,145,1496
45,436,270,1316
46,470,229,1227
47,648,201,1159
48,285,798,1116
49,372,284,1071
50,665,453,1065
51,202,634,1053
52,781,286,966
53,652,203,945
54,612,147,838
55,142,612,772
56,735,226,696
57,712,267,641
58,776,589,612
59,774,298,589
60,650,101,571
61,22,480,565
62,672,164,546
63,848,343,497
64,865,611,497
65,813,412,482
66,792,266,476
67,400,530,452
68,865,595,415
69,865,597,381
70,608,218,378
71,795,387,359
72,415,179,315
73,121,186,313
74,555,460,299
75,306,336,281
76,629,186,262
77,414,641,196
78,864,636,155
79,378,638,129
80,19,532,114
81,294,643,75
