Colony_ID,Center_X,Center_Y,Area_Pixels
1,495,892,103799
2,888,888,52380
3,695,383,34473
4,704,414,22375
5,689,306,4516
6,399,293,4473
7,259,162,3731
8,136,530,3487
9,468,145,3427
10,690,299,3377
11,394,281,3344
12,552,98,3300
13,624,116,3108
14,688,292,2825
15,673,210,2795
16,625,107,2336
17,676,197,2258
18,760,329,2168
19,241,160,2144
20,567,142,2123
21,308,206,1941
22,138,545,1941
23,948,441,1820
24,807,484,1744
25,545,279,1657
26,665,205,1359
27,623,534,1355
28,368,853,1326
29,704,433,1283
30,949,456,1197
31,417,329,1089
32,573,100,1083
33,577,137,1033
34,131,502,1008
35,449,900,989
36,359,367,972
37,929,596,954
38,552,148,864
39,609,190,831
40,220,536,766
41,289,168,765
42,696,186,764
43,417,325,714
44,244,771,643
45,613,145,604
46,690,233,602
47,760,243,570
48,857,531,519
49,766,212,512
50,308,771,507
51,569,221,492
52,848,263,456
53,766,205,414
54,833,340,381
55,363,245,363
56,289,169,335
57,947,507,298
58,647,142,281
59,578,181,281
60,806,450,261
61,831,336,205
62,798,364,155
63,209,818,133
64,453,983,107
