Colony_ID,Center_X,Center_Y,Area_Pixels
1,1035,916,69.5
2,937,905,181.5
4,900,896,44.0
7,1157,875,99.0
8,1020,870,159.0
9,925,850,140.5
10,932,829,99.5
11,949,826,81.0
12,884,826,99.5
13,915,809,175.0
14,935,803,99.0
15,1008,827,1612.5
18,1002,788,90.0
19,875,795,1046.0
20,873,804,30.0
21,1248,776,142.0
22,723,768,60.0
23,1056,775,446.0
24,1138,757,81.0
25,1085,770,388.0
26,1229,746,1248.0
29,830,727,125.0
30,1119,725,120.0
31,1100,718,100.0
32,749,717,81.0
33,1036,717,109.0
34,1202,707,139.0
35,1113,706,99.5
36,1036,704,120.5
37,913,711,811.5
38,1003,739,3477.5
41,881,704,365.5
42,933,678,119.0
43,1098,678,268.5
44,1073,688,1000.0
45,776,667,90.0
46,1144,664,81.0
47,1222,663,90.0
48,1171,662,81.0
49,992,658,109.5
50,1127,654,109.5
51,1194,652,81.0
52,973,652,90.0
53,948,652,100.0
54,1166,646,173.0
55,1101,642,81.0
56,1323,640,130.0
57,1133,636,150.5
58,1073,644,551.5
59,1025,661,2161.5
60,981,621,100.0
61,1029,622,223.5
62,831,613,81.0
63,945,606,377.5
64,855,591,119.5
65,949,588,109.0
66,1285,605,2317.5
67,814,580,90.0
68,1221,588,582.5
69,1175,583,229.5
70,803,565,81.0
71,701,564,99.5
72,1197,536,129.5
73,1150,532,495.5
74,930,518,81.0
75,1065,560,12133.5
79,1048,551,822.5
81,982,496,325.0
82,1053,488,81.0
83,1066,488,90.0
84,1223,487,90.0
85,1082,472,81.0
86,1069,472,90.0
87,1058,471,81.0
88,996,454,161.5
89,1380,447,356.5
90,987,439,148.5
91,1066,442,345.0
92,890,514,13975.5
93,898,562,195.0
95,881,476,600.5
96,1375,406,303.5
97,901,397,81.0
98,1356,396,99.5
99,981,155,396.5
100,1132,314,86072.0
103,1162,444,51.5
104,1004,385,302.5
105,1154,301,43661.0
106,1166,330,165.0
107,1130,303,443.0
108,1055,184,248.0
