Colony_ID,Center_X,Center_Y,Area_Pixels
1,1012,874,100.0
2,1061,850,1652.5
3,1014,830,1098.0
4,1150,798,581.0
5,1037,785,810.5
7,950,798,1373.5
8,899,746,90.0
9,1087,743,473.0
11,1062,698,90.0
12,1219,723,3492.0
13,1020,675,1292.0
14,1119,685,2516.0
15,834,633,161.5
16,1090,616,570.5
17,921,611,1109.5
18,1232,581,186.0
19,1180,539,100.0
20,851,548,1408.0
21,796,534,110.0
22,1248,595,8986.0
23,968,509,2315.5
24,1029,451,169.5
25,1297,459,1989.0
26,1017,410,99.0
27,688,370,341.0
28,1008,366,236.0
29,811,365,223.5
30,1097,355,117.0
31,1246,401,3722.0
32,828,335,90.0
33,1144,346,1054.0
34,987,304,208.5
35,783,317,1328.5
36,892,303,1014.5
37,1154,338,7106.5
38,1113,214,1327.0
39,772,191,2581.0
41,926,162,1046.5
