Colony_ID,Center_X,Center_Y,Area_Pixels
1,147,842,50834
2,832,839,45613
3,214,127,20897
4,277,78,12123
5,115,209,9754
6,114,207,9031
7,644,281,8084
8,808,367,6509
9,608,628,6072
10,781,690,5226
11,781,691,5189
12,829,198,5021
13,740,537,4707
14,659,308,4173
15,628,243,3142
16,716,381,3100
17,270,136,2736
18,771,630,2656
19,305,282,2490
20,525,769,1949
21,404,258,1862
22,269,143,1810
23,446,755,1736
24,270,146,1735
25,466,467,1589
26,900,386,1411
27,693,712,1153
28,250,424,982
29,518,643,772
30,615,161,671
31,791,157,606
32,315,298,554
33,678,67,527
34,389,768,517
35,407,728,517
36,572,126,441
37,498,915,428
38,890,563,399
39,364,512,390
40,468,926,347
41,368,602,321
42,637,567,243
43,431,568,212
44,335,576,208
45,704,86,206
46,804,751,206
47,664,757,205
48,370,515,164
49,537,922,140
50,430,568,133
51,864,278,35
