Shape_ID,Center_X,Center_Y,Area_Pixels
1,1641,1206,311.0
2,1428,1069,938.0
3,1276,1029,488.0
4,1576,1000,260.0
5,1289,939,844.5
6,1442,889,560.5
7,1758,820,286.0
8,1784,797,315.5
9,1621,859,50108.5
10,1560,708,634.5
11,1514,669,1009.0
