Colony_ID,Center_X,Center_Y,Area_Pixels
1,105,813,45043
2,812,816,43522
3,251,443,10359
4,481,354,6074
5,282,441,4764
6,206,445,4028
7,483,353,3548
8,659,494,2917
9,810,332,2170
10,204,447,1917
11,661,491,1514
12,830,559,1363
13,597,127,1277
14,871,582,1235
15,278,443,1033
16,839,555,923
17,757,778,762
18,594,173,709
19,760,307,693
20,749,459,679
21,600,106,634
22,757,618,511
23,749,454,436
24,761,310,419
25,790,405,394
26,107,203,375
27,119,166,355
28,805,570,347
29,703,419,336
30,753,665,312
31,607,101,310
32,790,405,265
33,194,238,225
34,409,637,203
35,704,419,196
36,496,208,168
37,554,378,127
38,330,276,123
